Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID,Specific Position,W,L,OT/SO,Shutouts,all_history,evs_history,gpk_history,team_history
2022-2023,Philipp Grubauer,SEA,G,57.0,54.0,47.0,22.0,61.0,55.0,40.0,8.0,59.0,46.0,45.0,49.0,48.0,Tandem (1B),39,2065.6166666667,0.895,2.85,95.44,98,30,1991-11-25,DEU,DEU,73,188,2010,4,112,8475831,G,17,14,4,0,"[59, 59, 72, 7, 38]","[61, 86, 49, 1, 63]","[76, 38, 81, 48, 29]","['COL', 'COL', 'COL', 'SEA', 'SEA']"
2022-2023,Pyotr Kochetkov,CAR,G,10.0,44.0,1.0,46.0,73.0,3.0,2.0,5.0,42.0,33.0,33.0,56.0,18.0,Backup,24,1403.9333333333,0.909,2.44,64.26,57,23,1999-06-25,RUS,RUS,75,205,2019,2,36,8481611,G,12,7,5,4,"[None, None, None, None, 75]","[None, None, None, None, 39]","[None, None, None, None, 99]","[None, None, None, None, 'CAR']"
2022-2023,Samuel Montembeault,MTL,G,22.0,12.0,61.0,8.0,23.0,53.0,72.0,69.0,43.0,32.0,32.0,16.0,61.0,Tandem (1B),40,2333.85,0.901,3.42,141.3,133,25,1996-10-30,CAN,CAN,75,214,2015,3,77,8478470,G,16,19,3,0,"[None, 5, None, 13, 80]","[None, 2, None, 41, 86]","[None, 3, None, 17, 22]","[None, 'FLA', None, 'MTL', 'MTL']"
2022-2023,Scott Wedgewood,DAL,G,19.0,21.0,30.0,28.0,6.0,41.0,39.0,47.0,17.0,24.0,24.0,9.0,31.0,Backup,21,1126.7666666667,0.915,2.72,55.12,51,30,1992-08-14,CAN,CAN,74,205,2010,3,84,8475809,G,9,8,3,1,"[None, None, 49, 68, 72]","[None, None, 55, 72, 67]","[None, None, 42, 43, 74]","[None, None, 'NJD', 'DAL', 'DAL']"
2022-2023,Semyon Varlamov,NYI,G,11.0,15.0,12.0,24.0,37.0,16.0,37.0,50.0,15.0,12.0,11.0,13.0,24.0,Backup,23,1334.7333333333,0.913,2.7,65.78,60,34,1988-04-27,RUS,RUS,74,206,2006,1,23,8473575,G,11,9,2,2,"[38, 71, 87, 75, 79]","[44, 73, 84, 46, 82]","[48, 71, 54, 87, 70]","['COL', 'NYI', 'NYI', 'NYI', 'NYI']"
2022-2023,Sergei Bobrovsky,FLA,G,29.0,17.0,52.0,59.0,31.0,13.0,56.0,36.0,36.0,23.0,19.0,28.0,28.0,Starter,50,2834.3666666667,0.901,3.07,142.49,145,33,1988-09-20,RUS,RUS,74,182,-,-,-,8475683,G,24,20,3,1,"[55, 35, 36, 87, 49]","[47, 24, 32, 80, 70]","[45, 67, 29, 88, 14]","['CBJ', 'FLA', 'FLA', 'FLA', 'FLA']"
2022-2023,Spencer Knight,FLA,G,52.0,38.0,70.0,47.0,70.0,1.0,11.0,35.0,53.0,47.0,46.0,47.0,36.0,Backup,21,1168.75,0.901,3.18,55.16,62,21,2001-04-19,USA,USA,75,192,2019,1,13,8481519,G,9,8,3,1,"[None, None, None, 48, 29]","[None, None, None, 75, 42]","[None, None, None, 16, 8]","[None, None, None, 'FLA', 'FLA']"
2022-2023,Spencer Martin,VAN,G,75.0,73.0,74.0,65.0,74.0,63.0,64.0,44.0,73.0,73.0,72.0,73.0,73.0,Backup,29,1610.1833333333,0.871,3.99,80.86,107,27,1995-06-08,CAN,CAN,75,191,2013,3,63,8477484,G,11,15,1,0,"[None, None, None, None, 3]","[None, None, None, None, 4]","[None, None, None, None, 3]","[None, None, None, None, 'VAN']"
2022-2023,Stuart Skinner,EDM,G,14.0,14.0,17.0,37.0,16.0,24.0,14.0,32.0,25.0,31.0,31.0,22.0,22.0,Starter,50,2903.0833333333,0.913,2.75,147.79,133,23,1998-11-01,CAN,CAN,76,206,2017,3,78,8479973,G,29,14,5,1,"[None, None, None, 59, 82]","[None, None, None, 29, 84]","[None, None, None, 52, 78]","[None, None, None, 'EDM', 'EDM']"
2022-2023,Thatcher Demko,VAN,G,33.0,10.0,67.0,10.0,12.0,25.0,32.0,56.0,48.0,49.0,48.0,26.0,33.0,Backup,32,1878.5166666667,0.901,3.16,93.48,99,26,1995-12-08,USA,USA,76,192,2014,2,36,8477967,G,14,14,4,1,"[None, 62, 90, 74, 42]","[None, 23, 87, 93, 74]","[None, 94, 59, 41, 9]","[None, 'VAN', 'VAN', 'VAN', 'VAN']"
2022-2023,Thomas Greiss,STL,G,64.0,57.0,66.0,29.0,22.0,71.0,46.0,70.0,37.0,54.0,54.0,61.0,66.0,Backup,21,1089.35,0.895,3.64,57.59,66,36,1986-01-29,DEU,DEU,74,219,2004,3,94,8471306,G,7,10,0,1,"[91, 47, 42, 14, 21]","[95, 55, 58, 13, 36]","[41, 48, 7, 4, 41]","['NYI', 'NYI', 'DET', 'DET', 'STL']"
2022-2023,Tristan Jarry,PIT,G,38.0,46.0,20.0,19.0,11.0,51.0,20.0,30.0,18.0,16.0,15.0,11.0,19.0,Tandem (1A),47,2650.0333333333,0.909,2.9,122.38,128,27,1995-04-29,CAN,CAN,74,194,2013,2,44,8477465,G,24,13,7,2,"[None, 61, 48, 71, 45]","[None, 53, 61, 58, 37]","[None, 29, 13, 93, 63]","[None, 'PIT', 'PIT', 'PIT', 'PIT']"
2022-2023,Ukko-Pekka Luukkonen,BUF,G,62.0,66.0,51.0,62.0,53.0,59.0,53.0,64.0,51.0,58.0,57.0,48.0,58.0,Tandem (1B),33,1910.2166666667,0.891,3.61,100.49,115,23,1999-03-09,FIN,FIN,77,217,2017,2,54,8480045,G,17,11,4,0,"[None, None, None, None, 17]","[None, None, None, None, 14]","[None, None, None, None, 28]","[None, None, None, None, 'BUF']"
2022-2023,Ville Husso,DET,G,46.0,43.0,48.0,49.0,59.0,20.0,48.0,28.0,38.0,43.0,42.0,53.0,32.0,Starter,56,3220.2333333333,0.896,3.11,149.34,167,27,1995-02-06,FIN,FIN,75,200,2014,4,94,8478024,G,26,22,7,4,"[None, None, 19, 94, 18]","[None, None, 20, 94, 28]","[None, None, 30, 77, 26]","[None, None, 'STL', 'STL', 'DET']"
2022-2023,Vitek Vanecek,NJD,G,36.0,34.0,15.0,25.0,28.0,40.0,10.0,9.0,20.0,18.0,17.0,25.0,20.0,Starter,52,2915.5666666667,0.911,2.45,127.72,119,26,1996-01-09,CZE,CZE,74,184,2014,2,39,8477970,G,33,11,4,3,"[None, None, 43, 45, 59]","[None, None, 38, 81, 49]","[None, None, 77, 51, 83]","[None, None, 'WSH', 'WSH', 'NJD']"
