Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position
2022-2023,Drake Batherson,OTT,F,82.0,360.0,31.0,,124.0,360.0,97.0,96.0,17.0,37.0,273.0,165.0,,75.0,First Line,82,1525.7,22,25,24,1998-04-27,USA,USA,75,200,2017,4,28,121
2022-2023,Drew O'Connor,PIT,F,78.0,68.0,,,60.0,41.0,74.0,198.0,358.0,364.0,305.0,153.0,,366.0,Bottom 6,46,451.51666666667,5,3,24,1998-06-09,USA,USA,75,200,-,-,-,-
2022-2023,Dryden Hunt,"COL, NYR, TOR",F,429.0,126.0,,,409.0,57.0,363.0,372.0,170.0,442.0,82.0,12.0,,445.0,Fringe,37,298.71666666667,3,0,26,1995-11-24,CAN,CAN,72,193,-,-,-,-
2022-2023,Dylan Cozens,BUF,F,119.0,383.0,155.0,186.0,192.0,384.0,126.0,133.0,135.0,100.0,125.0,349.0,101.0,128.0,Second Line,81,1336.25,31,21,21,2001-02-09,CAN,CAN,75,195,2019,1,7,7
2022-2023,Dylan Gambrell,OTT,F,449.0,120.0,,56.0,434.0,263.0,440.0,451.0,420.0,427.0,369.0,134.0,106.0,422.0,Bottom 6,60,683.33333333333,4,5,26,1996-08-26,USA,USA,71,185,2016,2,30,60
2022-2023,Dylan Guenther,ARI,F,399.0,435.0,211.0,,423.0,427.0,211.0,270.0,331.0,361.0,445.0,348.0,,254.0,Bottom 6,33,432.7,6,3,19,2003-04-10,CAN,CAN,74,175,2021,1,9,9
2022-2023,Dylan Holloway,EDM,F,369.0,98.0,,,212.0,68.0,386.0,415.0,120.0,403.0,151.0,67.0,,447.0,Bottom 6,51,488.85,3,2,20,2001-09-23,CAN,CAN,73,203,2020,1,14,14
2022-2023,Dylan Larkin,DET,F,74.0,395.0,88.0,174.0,172.0,366.0,70.0,82.0,223.0,61.0,158.0,333.0,37.0,42.0,First Line,80,1564.45,32,24,26,1996-07-30,USA,USA,73,198,2014,1,15,15
2022-2023,Dylan Strome,WSH,F,186.0,281.0,107.0,,132.0,352.0,255.0,141.0,12.0,121.0,365.0,443.0,70.0,121.0,Second Line,81,1351.65,23,24,25,1997-03-07,CAN,CAN,75,200,2015,1,3,3
2022-2023,Eeli Tolvanen,"NSH, SEA",F,273.0,21.0,118.0,,261.0,59.0,131.0,183.0,216.0,342.0,254.0,103.0,,189.0,Bottom 6,61,885.5,18,7,23,1999-04-22,FIN,FIN,70,191,2017,1,30,30
2022-2023,Eetu Luostarinen,FLA,F,215.0,61.0,251.0,53.0,74.0,87.0,390.0,329.0,260.0,312.0,86.0,208.0,117.0,270.0,Second Line,82,1310.8333333333,17,11,23,1998-09-02,FIN,FIN,75,190,2017,2,11,42
2022-2023,Elias Lindholm,CGY,F,95.0,60.0,48.0,36.0,50.0,53.0,153.0,81.0,248.0,92.0,153.0,281.0,18.0,59.0,First Line,80,1492.1166666667,22,25,27,1994-12-02,SWE,SWE,73,202,2013,1,5,5
2022-2023,Elias Pettersson,VAN,F,145.0,93.0,41.0,182.0,183.0,207.0,93.0,48.0,64.0,56.0,3.0,360.0,110.0,17.0,First Line,80,1644.3833333333,39,37,23,1998-11-12,SWE,SWE,74,176,2017,1,5,5
2022-2023,Elmer Soderblom,DET,F,365.0,17.0,,,349.0,61.0,259.0,125.0,156.0,443.0,331.0,191.0,,280.0,Bottom 6,21,253.53333333333,5,1,21,2001-07-05,SWE,SWE,80,246,2019,6,4,159
2022-2023,Emil Bemstrom,CBJ,F,235.0,245.0,250.0,,269.0,264.0,117.0,225.0,201.0,349.0,91.0,307.0,,306.0,Bottom 6,55,665.96666666667,7,7,23,1999-06-01,SWE,SWE,72,195,2017,4,24,117
2022-2023,Eric Robinson,CBJ,F,278.0,409.0,,30.0,353.0,404.0,288.0,289.0,430.0,262.0,145.0,119.0,,304.0,Bottom 6,72,1004.25,12,6,27,1995-06-14,USA,USA,74,205,-,-,-,-
2022-2023,Eric Staal,FLA,F,281.0,314.0,275.0,170.0,169.0,304.0,313.0,325.0,241.0,352.0,393.0,405.0,140.0,316.0,Bottom 6,72,1025.0666666667,14,9,37,1984-10-29,CAN,CAN,76,195,2003,1,2,2
2022-2023,Erik Haula,NJD,F,148.0,140.0,150.0,138.0,103.0,84.0,208.0,211.0,131.0,194.0,390.0,175.0,31.0,196.0,Second Line,80,1330.4833333333,14,15,31,1991-03-23,FIN,FIN,71,191,2009,7,1,182
2022-2023,Evan Rodrigues,COL,F,72.0,91.0,219.0,,70.0,55.0,56.0,175.0,183.0,166.0,104.0,323.0,81.0,134.0,Second Line,69,1232.0833333333,16,14,29,1993-07-28,CAN,CAN,71,184,-,-,-,-
2022-2023,Evander Kane,EDM,F,47.0,427.0,245.0,208.0,115.0,364.0,17.0,30.0,243.0,141.0,436.0,76.0,,48.0,First Line,41,766.83333333333,16,6,31,1991-08-02,CAN,CAN,74,210,2009,1,4,4
2022-2023,Evgeni Malkin,PIT,F,73.0,244.0,20.0,,44.0,201.0,67.0,71.0,7.0,30.0,279.0,369.0,104.0,35.0,First Line,82,1523.6,27,36,36,1986-07-31,RUS,RUS,75,195,2004,1,2,2
2022-2023,Evgenii Dadonov,"DAL, MTL",F,160.0,258.0,133.0,,129.0,244.0,220.0,251.0,144.0,138.0,203.0,346.0,,207.0,Bottom 6,73,1074.85,7,15,33,1989-03-12,RUS,RUS,71,189,2007,3,10,71
2022-2023,Evgeny Kuznetsov,WSH,F,194.0,397.0,89.0,114.0,220.0,359.0,192.0,275.0,2.0,54.0,378.0,389.0,115.0,101.0,First Line,81,1462.8166666667,12,25,30,1992-05-19,RUS,RUS,74,207,2010,1,26,26
2022-2023,Evgeny Svechnikov,SJS,F,280.0,365.0,,,253.0,314.0,335.0,304.0,273.0,298.0,428.0,87.0,,404.0,Bottom 6,59,634.11666666667,8,5,25,1996-10-31,RUS,RUS,75,208,2015,1,19,19
2022-2023,Fabian Zetterlund,"NJD, SJS",F,142.0,443.0,,,141.0,398.0,163.0,367.0,347.0,111.0,269.0,269.0,,337.0,Bottom 6,67,888.21666666667,6,13,23,1999-08-25,SWE,SWE,71,220,2017,3,1,63
2022-2023,Filip Chytil,NYR,F,83.0,210.0,228.0,,258.0,211.0,64.0,122.0,143.0,128.0,144.0,386.0,121.0,174.0,Bottom 6,74,1086.6,22,16,22,1999-09-05,CZE,CZE,74,204,2017,1,21,21
2022-2023,Filip Forsberg,NSH,F,38.0,250.0,28.0,,114.0,269.0,15.0,21.0,42.0,34.0,38.0,164.0,,27.0,Second Line,50,873.6,19,13,28,1994-08-13,SWE,SWE,73,205,2012,1,11,11
2022-2023,Filip Zadina,DET,F,252.0,195.0,257.0,,246.0,242.0,144.0,349.0,275.0,378.0,129.0,298.0,,279.0,Bottom 6,30,392.9,3,2,22,1999-11-27,CZE,CZE,72,190,2018,1,6,6
2022-2023,Frank Vatrano,ANA,F,115.0,411.0,233.0,185.0,307.0,434.0,35.0,106.0,226.0,231.0,301.0,211.0,,129.0,Second Line,81,1350.9666666667,22,11,28,1994-03-14,USA,USA,71,197,-,-,-,-
2022-2023,Frederick Gaudreau,MIN,F,247.0,59.0,226.0,124.0,241.0,104.0,326.0,296.0,295.0,214.0,166.0,374.0,65.0,202.0,Second Line,82,1315.5166666667,19,11,29,1993-05-01,CAN,CAN,72,184,-,-,-,-
2022-2023,Fredrik Olofsson,DAL,F,245.0,7.0,,,285.0,4.0,238.0,438.0,414.0,257.0,124.0,136.0,,441.0,Bottom 6,28,285.75,1,3,26,1996-05-27,SWE,SWE,74,190,2014,4,8,98
2022-2023,Gabriel Vilardi,LAK,F,300.0,136.0,234.0,,289.0,75.0,231.0,112.0,155.0,314.0,9.0,390.0,192.0,210.0,Second Line,63,983.01666666667,23,10,23,1999-08-16,CAN,CAN,75,215,2017,1,11,11
2022-2023,Garnet Hathaway,"BOS, WSH",F,343.0,30.0,,9.0,243.0,78.0,330.0,265.0,456.0,414.0,122.0,17.0,,298.0,Bottom 6,84,990.8,13,4,30,1991-11-23,USA,USA,75,208,-,-,-,-
2022-2023,Givani Smith,"DET, FLA",F,293.0,274.0,,,375.0,308.0,193.0,413.0,87.0,306.0,456.0,19.0,,444.0,Fringe,36,252.15,1,2,24,1998-02-28,CAN,CAN,74,214,2016,2,16,46
2022-2023,Gustav Nyquist,"CBJ, MIN",F,265.0,396.0,194.0,97.0,255.0,441.0,349.0,282.0,140.0,157.0,313.0,361.0,,173.0,Second Line,51,898.6,11,10,33,1989-09-01,SWE,SWE,71,180,2008,4,30,121
2022-2023,Hudson Fasching,NYI,F,205.0,228.0,,,163.0,273.0,356.0,182.0,383.0,182.0,194.0,223.0,,315.0,Bottom 6,49,611.65,10,7,27,1995-07-28,USA,USA,75,204,2013,4,27,118
2022-2023,Ilya Mikheyev,VAN,F,140.0,193.0,262.0,52.0,214.0,132.0,118.0,104.0,371.0,220.0,35.0,350.0,,141.0,Second Line,46,777.96666666667,13,9,27,1994-10-10,RUS,RUS,74,192,-,-,-,-
2022-2023,Isac Lundestrom,ANA,F,442.0,352.0,,68.0,429.0,405.0,442.0,424.0,421.0,398.0,65.0,413.0,108.0,354.0,Bottom 6,61,874.36666666667,4,6,22,1999-11-06,SWE,SWE,72,193,2018,1,23,23
2022-2023,Ivan Barbashev,"STL, VGK",F,250.0,434.0,223.0,13.0,250.0,443.0,393.0,210.0,265.0,159.0,181.0,111.0,194.0,198.0,Second Line,82,1374.0,16,16,26,1995-12-14,RUS,RUS,73,195,2014,2,3,33
2022-2023,J.T. Compher,COL,F,327.0,54.0,141.0,71.0,193.0,101.0,391.0,249.0,317.0,256.0,217.0,402.0,84.0,166.0,First Line,82,1684.3333333333,17,22,27,1995-04-08,USA,USA,72,190,2013,2,5,35
2022-2023,J.T. Miller,VAN,F,185.0,298.0,12.0,75.0,168.0,318.0,181.0,127.0,192.0,24.0,325.0,132.0,36.0,28.0,First Line,81,1675.05,32,37,29,1993-03-14,USA,USA,73,218,2011,1,15,15
2022-2023,JJ Peterka,BUF,F,143.0,449.0,212.0,,96.0,444.0,228.0,286.0,234.0,188.0,337.0,433.0,,291.0,Bottom 6,77,1050.8333333333,12,13,20,2002-01-14,DEU,DEU,72,189,2020,2,3,34
2022-2023,Jack Drury,CAR,F,50.0,1.0,,,32.0,1.0,58.0,350.0,165.0,245.0,421.0,391.0,155.0,352.0,Bottom 6,38,409.83333333333,2,3,22,2000-02-03,USA,USA,71,174,2018,2,11,42
2022-2023,Jack Eichel,VGK,F,96.0,118.0,58.0,,154.0,196.0,31.0,103.0,83.0,120.0,40.0,282.0,99.0,24.0,First Line,67,1257.3833333333,27,22,25,1996-10-28,USA,USA,74,207,2015,1,2,2
2022-2023,Jack Hughes,NJD,F,20.0,273.0,26.0,,35.0,113.0,13.0,19.0,33.0,16.0,11.0,456.0,124.0,14.0,First Line,78,1557.35,43,35,21,2001-05-14,USA,USA,71,175,2019,1,1,1
2022-2023,Jack McBain,ARI,F,424.0,429.0,,105.0,437.0,446.0,436.0,382.0,409.0,368.0,438.0,23.0,167.0,355.0,Bottom 6,82,1146.45,12,9,22,2000-01-06,CAN,CAN,75,201,2018,3,1,63
2022-2023,Jack Quinn,BUF,F,132.0,391.0,206.0,,79.0,371.0,210.0,208.0,82.0,146.0,27.0,357.0,,238.0,Bottom 6,75,1038.5333333333,14,12,20,2001-09-19,CAN,CAN,73,185,2020,1,8,8
2022-2023,Jack Roslovic,CBJ,F,200.0,424.0,164.0,127.0,276.0,426.0,296.0,283.0,19.0,135.0,98.0,345.0,123.0,178.0,Second Line,77,1266.3833333333,11,20,25,1997-01-29,USA,USA,73,200,2015,1,25,25
2022-2023,Jack Studnicka,"BOS, VAN",F,415.0,212.0,,,453.0,319.0,224.0,419.0,210.0,424.0,152.0,209.0,138.0,410.0,Bottom 6,48,508.55,4,1,23,1999-02-18,CAN,CAN,73,187,2017,2,22,53
2022-2023,Jaden Schwartz,SEA,F,225.0,62.0,125.0,,233.0,63.0,142.0,155.0,115.0,190.0,238.0,288.0,,133.0,Second Line,71,1237.05,21,12,30,1992-06-25,CAN,CAN,70,185,2010,1,14,14
2022-2023,Jake DeBrusk,BOS,F,41.0,29.0,82.0,143.0,40.0,16.0,44.0,38.0,54.0,115.0,71.0,231.0,,107.0,Second Line,64,1073.7,27,16,25,1996-10-17,CAN,CAN,72,197,2015,1,14,14
2022-2023,Jake Evans,MTL,F,259.0,251.0,,73.0,284.0,254.0,394.0,444.0,380.0,177.0,78.0,227.0,54.0,297.0,Bottom 6,54,782.46666666667,2,13,26,1996-06-02,CAN,CAN,72,186,2014,7,27,207
2022-2023,Jake Guentzel,PIT,F,40.0,313.0,40.0,,17.0,354.0,59.0,16.0,5.0,55.0,76.0,303.0,,18.0,First Line,78,1569.05,36,26,27,1994-10-06,USA,USA,71,180,2013,3,16,77
2022-2023,Jake Leschyshyn,"NYR, VGK",F,451.0,366.0,,,451.0,421.0,410.0,455.0,129.0,452.0,202.0,102.0,137.0,454.0,Bottom 6,35,319.5,0,0,23,1999-03-10,USA,USA,71,195,2017,2,31,62
2022-2023,Jake Neighbours,STL,F,435.0,326.0,,,432.0,419.0,358.0,351.0,357.0,446.0,333.0,123.0,,374.0,Bottom 6,43,534.38333333333,6,2,20,2002-03-29,CAN,CAN,72,201,2020,1,26,26
2022-2023,Jakob Pelletier,CGY,F,114.0,45.0,,,4.0,100.0,137.0,238.0,56.0,322.0,247.0,344.0,,263.0,Bottom 6,24,340.43333333333,3,2,21,2001-03-07,CAN,CAN,69,170,2019,1,26,26
2022-2023,Jakob Silfverberg,ANA,F,358.0,334.0,152.0,82.0,442.0,406.0,201.0,401.0,446.0,328.0,400.0,439.0,,229.0,Bottom 6,81,1229.5166666667,10,10,31,1990-10-13,SWE,SWE,73,207,2009,2,9,39
2022-2023,Jakub Lauko,BOS,F,248.0,197.0,,,435.0,214.0,415.0,179.0,427.0,77.0,1.0,40.0,,414.0,Bottom 6,23,203.88333333333,4,3,22,2000-03-28,CZE,CZE,72,196,2018,3,15,77
2022-2023,Jakub Vrana,"DET, STL",F,110.0,453.0,291.0,,334.0,449.0,39.0,12.0,205.0,149.0,414.0,356.0,,98.0,Bottom 6,25,363.75,11,4,26,1996-02-28,CZE,CZE,72,190,2014,1,13,13
2022-2023,James van Riemsdyk,PHI,F,191.0,169.0,165.0,,207.0,173.0,145.0,120.0,107.0,250.0,402.0,409.0,,175.0,Bottom 6,61,936.58333333333,12,8,33,1989-05-04,USA,USA,75,208,2007,1,2,2
2022-2023,Jamie Benn,DAL,F,125.0,267.0,50.0,150.0,148.0,294.0,116.0,67.0,112.0,94.0,303.0,172.0,14.0,88.0,Second Line,82,1294.25,33,22,33,1989-07-18,CAN,CAN,74,205,2007,5,8,129
2022-2023,Jansen Harkins,WPG,F,411.0,16.0,,,328.0,11.0,409.0,358.0,359.0,421.0,215.0,228.0,,439.0,Bottom 6,22,238.03333333333,3,1,25,1997-05-23,USA,USA,73,182,2015,2,17,47
2022-2023,Jared McCann,SEA,F,91.0,40.0,86.0,141.0,177.0,31.0,40.0,32.0,72.0,114.0,21.0,280.0,190.0,74.0,Second Line,79,1290.8,40,19,26,1996-05-31,CAN,CAN,73,191,2014,1,24,24
2022-2023,Jaret Anderson-Dolan,LAK,F,410.0,405.0,,,373.0,387.0,369.0,300.0,92.0,426.0,265.0,121.0,201.0,367.0,Bottom 6,46,488.4,7,3,22,1999-09-12,CAN,CAN,71,200,2017,2,10,41
2022-2023,Jason Dickinson,CHI,F,404.0,53.0,,49.0,377.0,204.0,395.0,420.0,352.0,377.0,264.0,139.0,100.0,293.0,Second Line,78,1243.2333333333,9,13,27,1995-07-04,CAN,CAN,74,200,2013,1,29,29
2022-2023,Jason Robertson,DAL,F,10.0,97.0,7.0,,13.0,30.0,25.0,11.0,49.0,11.0,292.0,362.0,,12.0,First Line,82,1544.7833333333,46,39,23,1999-07-22,USA,USA,75,200,2017,2,8,39
2022-2023,Jason Zucker,PIT,F,108.0,167.0,235.0,,82.0,156.0,65.0,80.0,23.0,284.0,146.0,92.0,,140.0,Second Line,78,1221.1666666667,27,9,30,1992-01-16,USA,USA,71,192,2010,2,29,59
2022-2023,Jayson Megna,"ANA, COL",F,454.0,437.0,,,452.0,450.0,452.0,456.0,418.0,450.0,377.0,190.0,154.0,453.0,Bottom 6,55,550.23333333333,2,2,32,1990-02-01,USA,USA,73,195,-,-,-,-
2022-2023,Jean-Gabriel Pageau,NYI,F,276.0,247.0,149.0,59.0,224.0,333.0,354.0,255.0,445.0,241.0,186.0,98.0,9.0,165.0,Second Line,70,1232.8833333333,13,15,29,1992-11-11,CAN,CAN,71,185,2011,4,5,96
2022-2023,Jeff Carter,PIT,F,214.0,202.0,87.0,54.0,300.0,247.0,115.0,164.0,435.0,162.0,422.0,216.0,11.0,157.0,Bottom 6,79,1082.8,13,9,37,1985-01-01,CAN,CAN,75,219,2003,1,11,11
2022-2023,Jeff Skinner,BUF,F,13.0,413.0,109.0,,59.0,380.0,33.0,25.0,20.0,35.0,24.0,428.0,183.0,63.0,Second Line,79,1374.3833333333,35,30,30,1992-05-16,CAN,CAN,71,197,2010,1,7,7
2022-2023,Jesper Boqvist,NJD,F,306.0,343.0,,,197.0,228.0,359.0,292.0,197.0,363.0,106.0,295.0,205.0,371.0,Bottom 6,70,812.4,10,4,23,1998-10-30,SWE,SWE,72,180,2017,2,5,36
2022-2023,Jesper Bratt,NJD,F,22.0,294.0,64.0,,5.0,182.0,90.0,100.0,91.0,52.0,81.0,427.0,,80.0,Second Line,82,1424.1333333333,32,22,24,1998-07-30,SWE,SWE,70,175,2016,6,11,162
2022-2023,Jesper Fast,CAR,F,303.0,18.0,294.0,1.0,57.0,5.0,443.0,339.0,145.0,359.0,121.0,162.0,,327.0,Bottom 6,80,1178.5166666667,10,6,30,1991-12-02,SWE,SWE,73,191,2010,6,7,157
2022-2023,Jesperi Kotkaniemi,CAR,F,236.0,27.0,140.0,,84.0,9.0,282.0,209.0,38.0,311.0,347.0,157.0,61.0,246.0,Bottom 6,82,1208.35,18,8,22,2000-07-06,FIN,FIN,74,201,2018,1,3,3
2022-2023,Jesse Puljujarvi,"CAR, EDM",F,141.0,67.0,243.0,,51.0,43.0,105.0,199.0,98.0,291.0,317.0,114.0,,241.0,Bottom 6,75,917.38333333333,5,6,24,1998-05-07,SWE,FIN,76,201,2016,1,4,4
2022-2023,Jesse Ylonen,MTL,F,434.0,376.0,,,449.0,408.0,414.0,386.0,327.0,400.0,155.0,414.0,,282.0,Bottom 6,37,497.53333333333,6,3,22,1999-10-03,USA,USA,73,188,2018,2,4,35
2022-2023,Jimmy Vesey,NYR,F,291.0,139.0,,5.0,188.0,167.0,267.0,298.0,344.0,395.0,159.0,184.0,,342.0,Bottom 6,81,1102.45,11,7,29,1993-05-26,USA,USA,75,202,2012,3,5,66
2022-2023,Joe Pavelski,DAL,F,62.0,32.0,52.0,,34.0,32.0,138.0,56.0,61.0,44.0,25.0,237.0,44.0,47.0,Second Line,82,1453.2666666667,28,24,38,1984-07-11,USA,USA,71,200,2003,7,8,205
2022-2023,Joe Veleno,DET,F,448.0,242.0,,,450.0,287.0,419.0,422.0,324.0,425.0,366.0,89.0,148.0,395.0,Bottom 6,81,1034.85,9,6,22,2000-01-13,CAN,CAN,73,203,2018,1,30,30
2022-2023,Joel Armia,MTL,F,301.0,337.0,,84.0,297.0,367.0,226.0,310.0,256.0,397.0,278.0,154.0,,288.0,Bottom 6,43,642.68333333333,7,3,29,1993-05-31,FIN,FIN,75,216,2011,1,16,16
2022-2023,Joel Eriksson Ek,MIN,F,80.0,23.0,74.0,44.0,216.0,23.0,72.0,66.0,379.0,139.0,156.0,163.0,95.0,79.0,First Line,78,1481.5833333333,23,22,25,1997-01-29,SWE,SWE,75,207,2015,1,20,20
2022-2023,Joel Farabee,PHI,F,220.0,379.0,175.0,46.0,277.0,377.0,258.0,229.0,109.0,273.0,120.0,258.0,,180.0,Second Line,82,1394.8833333333,15,10,22,2000-02-25,USA,USA,72,183,2018,1,14,14
2022-2023,Joel Kiviranta,DAL,F,403.0,35.0,,162.0,331.0,28.0,306.0,359.0,296.0,436.0,358.0,79.0,,419.0,Bottom 6,70,850.8,8,0,26,1996-03-23,FIN,FIN,71,185,-,-,-,-
2022-2023,Joey Anderson,"CHI, TOR",F,298.0,49.0,,,271.0,36.0,361.0,321.0,365.0,369.0,5.0,204.0,,408.0,Bottom 6,38,444.5,6,3,24,1998-06-19,USA,USA,72,207,2016,3,12,73
2022-2023,John Tavares,TOR,F,60.0,221.0,2.0,,69.0,200.0,21.0,9.0,70.0,29.0,318.0,220.0,3.0,26.0,Second Line,80,1412.5166666667,36,27,31,1990-09-20,CAN,CAN,73,216,2009,1,1,1
2022-2023,Johnny Gaudreau,CBJ,F,37.0,387.0,27.0,,78.0,292.0,88.0,89.0,166.0,7.0,31.0,457.0,,36.0,First Line,80,1553.45,21,30,29,1993-08-13,USA,USA,69,165,2011,4,13,104
2022-2023,Jonah Gadjovich,SJS,F,379.0,420.0,,,323.0,350.0,339.0,366.0,252.0,412.0,380.0,10.0,,456.0,Bottom 6,35,314.7,3,1,23,1998-10-12,CAN,CAN,74,209,2017,2,24,55
2022-2023,Jonatan Berggren,DET,F,392.0,271.0,201.0,,393.0,229.0,301.0,223.0,186.0,290.0,384.0,425.0,,267.0,Bottom 6,67,901.8,15,9,22,2000-07-16,SWE,SWE,71,197,2018,2,2,33
2022-2023,Jonathan Drouin,MTL,F,246.0,440.0,161.0,,287.0,436.0,365.0,446.0,161.0,97.0,359.0,330.0,195.0,235.0,Bottom 6,58,864.66666666667,2,14,27,1995-03-28,CAN,CAN,71,198,2013,1,3,3
2022-2023,Jonathan Huberdeau,CGY,F,70.0,229.0,54.0,196.0,56.0,110.0,232.0,166.0,21.0,10.0,101.0,272.0,,67.0,Second Line,79,1332.2666666667,15,23,29,1993-06-04,CAN,CAN,73,200,2011,1,3,3
2022-2023,Jonathan Marchessault,VGK,F,46.0,230.0,30.0,,108.0,188.0,18.0,42.0,177.0,62.0,340.0,286.0,,60.0,Second Line,76,1302.6666666667,28,16,31,1990-12-27,CAN,CAN,69,183,-,-,-,-
2022-2023,Jonathan Toews,CHI,F,348.0,433.0,190.0,190.0,340.0,435.0,367.0,294.0,356.0,202.0,406.0,436.0,125.0,195.0,Second Line,53,938.66666666667,15,12,34,1988-04-29,CAN,CAN,74,201,2006,1,3,3
2022-2023,Jordan Eberle,SEA,F,112.0,111.0,146.0,,161.0,120.0,170.0,173.0,57.0,83.0,322.0,377.0,,127.0,Second Line,82,1368.1166666667,20,32,32,1990-05-15,CAN,CAN,71,190,2008,1,22,22
2022-2023,Jordan Greenway,"BUF, MIN",F,310.0,112.0,,151.0,345.0,102.0,227.0,323.0,328.0,334.0,418.0,84.0,,286.0,Bottom 6,62,837.3,6,2,25,1997-02-16,USA,USA,78,231,2015,2,20,50
2022-2023,Jordan Kyrou,STL,F,61.0,418.0,63.0,,295.0,413.0,38.0,54.0,163.0,27.0,69.0,453.0,,50.0,First Line,79,1422.2833333333,37,24,24,1998-05-05,CAN,CAN,73,196,2016,2,5,35
2022-2023,Jordan Martinook,CAR,F,89.0,24.0,,135.0,85.0,8.0,184.0,269.0,89.0,167.0,419.0,140.0,209.0,299.0,Second Line,82,1281.8833333333,13,15,30,1992-07-25,CAN,CAN,72,196,2012,2,28,58
2022-2023,Jordan Staal,CAR,F,199.0,26.0,290.0,25.0,67.0,6.0,312.0,196.0,194.0,357.0,291.0,93.0,5.0,209.0,Second Line,81,1317.7166666667,17,7,33,1988-09-10,CAN,CAN,76,220,2006,1,2,2
2022-2023,Josh Anderson,MTL,F,211.0,414.0,168.0,172.0,280.0,437.0,122.0,92.0,232.0,362.0,360.0,97.0,,149.0,Second Line,69,1170.2333333333,21,7,28,1994-05-07,CAN,CAN,75,218,2012,4,4,95
2022-2023,Josh Archibald,PIT,F,386.0,44.0,,94.0,365.0,39.0,334.0,334.0,429.0,415.0,180.0,11.0,,382.0,Bottom 6,62,618.56666666667,6,2,29,1992-10-06,CAN,CAN,70,176,2011,6,23,174
2022-2023,Josh Bailey,NYI,F,311.0,438.0,100.0,34.0,219.0,415.0,435.0,409.0,110.0,152.0,244.0,448.0,,256.0,Bottom 6,64,968.5,8,12,32,1989-10-02,CAN,CAN,73,200,2008,1,9,9
2022-2023,Josh Leivo,STL,F,158.0,36.0,,,256.0,19.0,134.0,267.0,319.0,226.0,272.0,178.0,,361.0,Bottom 6,51,606.45,4,9,29,1993-05-26,CAN,CAN,74,192,2011,3,25,86
2022-2023,Jujhar Khaira,CHI,F,438.0,56.0,,133.0,433.0,70.0,405.0,410.0,411.0,429.0,397.0,34.0,82.0,373.0,Bottom 6,51,707.81666666667,6,4,28,1994-08-13,CAN,CAN,76,212,2012,3,2,63
2022-2023,Julien Gauthier,"NYR, OTT",F,285.0,344.0,,,372.0,362.0,196.0,227.0,171.0,332.0,7.0,42.0,,413.0,Bottom 6,57,492.16666666667,9,3,24,1997-10-15,CAN,CAN,76,224,2016,1,21,21
2022-2023,Juraj Slafkovsky,MTL,F,437.0,350.0,,,400.0,432.0,396.0,430.0,250.0,411.0,447.0,131.0,,381.0,Bottom 6,39,476.4,4,2,18,2004-03-30,SVK,SVK,75,238,2022,1,1,1
2022-2023,Juuso Parssinen,NSH,F,284.0,335.0,205.0,,133.0,395.0,432.0,363.0,326.0,193.0,148.0,126.0,158.0,262.0,Bottom 6,45,645.0,6,9,21,2001-02-01,FIN,FIN,75,212,2019,7,24,210
2022-2023,Kaapo Kakko,NYR,F,256.0,145.0,240.0,,159.0,116.0,321.0,253.0,175.0,236.0,136.0,435.0,,255.0,Bottom 6,82,1255.1666666667,18,14,21,2001-02-13,FIN,FIN,74,206,2019,1,2,2
2022-2023,Kailer Yamamoto,EDM,F,305.0,203.0,279.0,116.0,130.0,245.0,380.0,228.0,222.0,331.0,132.0,192.0,,232.0,Second Line,58,961.53333333333,10,7,23,1998-09-29,USA,USA,68,153,2017,1,22,22
2022-2023,Karson Kuhlman,"SEA, WPG",F,352.0,113.0,,,264.0,99.0,240.0,399.0,251.0,444.0,79.0,141.0,,416.0,Bottom 6,47,556.65,3,1,26,1995-09-26,USA,USA,70,184,-,-,-,-
2022-2023,Kasperi Kapanen,"PIT, STL",F,175.0,328.0,158.0,,292.0,302.0,214.0,263.0,268.0,129.0,242.0,149.0,,214.0,Bottom 6,66,903.15,15,14,26,1996-07-23,FIN,FIN,73,194,2014,1,22,22
2022-2023,Keegan Kolesar,VGK,F,266.0,153.0,,,225.0,176.0,400.0,371.0,316.0,201.0,268.0,9.0,210.0,384.0,Bottom 6,74,849.06666666667,8,10,25,1997-04-08,CAN,CAN,74,217,2015,3,8,69
2022-2023,Kent Johnson,CBJ,F,351.0,430.0,202.0,,391.0,423.0,291.0,291.0,40.0,131.0,232.0,445.0,,227.0,Bottom 6,79,1146.8,16,17,19,2002-10-18,CAN,CAN,72,175,2021,1,5,5
2022-2023,Kevin Fiala,LAK,F,21.0,315.0,36.0,198.0,77.0,177.0,30.0,40.0,138.0,9.0,246.0,332.0,,38.0,Second Line,69,1214.0666666667,23,33,26,1996-07-22,CHE,CHE,70,204,2014,1,11,11
2022-2023,Kevin Hayes,PHI,F,92.0,398.0,153.0,213.0,238.0,383.0,100.0,246.0,167.0,59.0,193.0,331.0,103.0,120.0,Second Line,81,1422.8166666667,18,26,30,1992-05-08,USA,USA,77,216,2010,1,24,24
